experiment_no;energy-cores;energy-gpu;energy-pkg;energy-psys;total_energy
1;2,26;0,57;19,32;19,38;41,53
2;2,61;0,68;21,88;20,99;46,16
3;2,64;0,63;21,63;21,32;46,22
4;2,49;0,65;19,67;20,43;43,24
5;2,42;0,41;21,4;19,21;43,44
6;2,74;0,4;21,25;21,61;46
7;2,44;0,4;19,66;19,77;42,27
8;2,37;0,53;21,42;20,4;44,72
9;2,49;0,64;21,16;21,15;45,44
10;2,94;0,75;21,77;22,46;47,92
11;2,4;0,64;20,28;19,87;43,19
12;2,35;0,65;19,07;19,61;41,68
13;2,25;0,63;21,6;19,06;43,54
14;2,29;0,59;24,71;19,33;46,92
15;2,31;0,59;18,8;19,29;40,99
16;2,25;0,6;21,84;19,03;43,72
17;2,4;0,65;21,45;20,19;44,69
18;2,31;0,64;20,26;19,29;42,5
19;2,17;0,63;18,76;18,63;40,19
20;2,2;0,53;21,59;18,28;42,6
21;2,23;0,56;23,24;18,29;44,32
22;2,47;0,57;21,38;20,64;45,06
23;2,25;0,55;21,71;18,87;43,38
24;2,43;0,57;19,93;19,96;42,89
25;2,26;0,56;19,02;19,43;41,27
26;2,26;0,58;19,54;18,7;41,08
27;2,19;0,57;20,18;18,4;41,34
28;2,18;0,53;21,4;18,21;42,32
29;2,23;0,52;19,4;18,66;40,81
30;2,14;0,51;19,32;18,15;40,12
