experiment_no;language;energy-cores;energy-gpu;energy-pkg;energy-psys;total_energy;elapsed_time;accuracy;random_seed
1;cpp;851,37;0,5;1025,32;1488,63;3365,82;82,24997696;0,99614;1263224233
2;cpp;829,96;0,86;999,98;1463,47;3294,27;81,7493336;0,996228;323877210
3;cpp;906,29;0,77;1091,71;1590,52;3589,29;89,52902736;0,995788;-744240764
4;cpp;958,46;0,7;1155,16;1687,76;3802,08;94,42845947;0,99599;1124837282
5;cpp;950,66;0,64;1140,51;1651,64;3743,45;92,08803044;0,996184;-1361548882
6;cpp;891,54;0,87;1072,18;1557,01;3521,6;86,46457311;0,995621;1662248781
7;cpp;914,12;0,53;1100,86;1600,88;3616,39;89,56970581;0,995753;1692896260
8;cpp;887,7;0,64;1064,14;1545,7;3498,18;85,08545462;0,995867;-1242774085
9;cpp;934,53;0,52;1120,74;1623,51;3679,3;89,57491835;0,995902;628974364
10;cpp;886,74;0,82;1062,89;1545,35;3495,8;85,14847221;0,996026;1799004002
11;cpp;863,61;0,83;1040,69;1512,59;3417,72;84,6698022;0,996149;-122901115
12;cpp;849,61;0,68;1024,12;1488,69;3363,1;83,33763099;0,995946;365461918
13;cpp;910,01;0,84;1092,53;1579,44;3582,82;87,40398755;0,996052;1893643394
14;cpp;954,67;0,75;1145,79;1657,59;3758,8;91,42154833;0,996034;-1279982903
15;cpp;910,71;0,77;1093,54;1578,65;3583,67;87,27326587;0,995577;770550746
16;cpp;897,07;0,62;1081,26;1564,32;3543,27;86,95779517;0,996245;764777983
17;cpp;927,24;0,59;1118,86;1618,79;3665,48;90,38698779;0,996166;208056864
18;cpp;889,74;0,75;1068,39;1547,16;3506,04;85,18341917;0,995982;-1811253771
19;cpp;913,55;0,71;1096,19;1580,68;3591,13;87,30465747;0,996113;1307783525
20;cpp;918,71;0,53;1101,56;1593,01;3613,81;87,62610519;0,99599;-2142237481
21;cpp;882,24;0,67;1058,5;1534,6;3476,01;83,91183522;0,995938;-419461729
22;cpp;856,73;0,78;1033,42;1500,57;3391,5;83,58524671;0,995797;1176438907
23;cpp;877,66;0,81;1053,1;1518,69;3450,26;83,85894441;0,995806;-1511270469
24;cpp;896,34;0,58;1076,4;1572,88;3546,2;85,54344471;0,995982;879569544
25;cpp;882,31;0,75;1059,22;1559,54;3501,82;84,13549299;0,995999;-1628720678
26;cpp;931,12;0,69;1120,88;1616,62;3669,31;89,64351355;0,995709;1937956789
27;cpp;873,81;4,63;1062,13;1581,54;3522,11;86,32773361;0,99599;-1240624313
28;cpp;857;0,84;1035,19;1525,8;3418,83;84,23458381;0,995938;-1438515293
29;cpp;877,26;0,57;1058,58;1532,99;3469,4;85,57185277;0,996061;272606777
30;cpp;909,47;0,51;1095,25;1578,3;3583,53;87,38153024;0,996017;973500114
31;julia;632,99;0,73;762,15;1111,96;2507,83;60,06184539;0,998443628;948
32;julia;654,28;1,76;783,96;1142,91;2582,91;61,2752835;0,998575524;367
33;julia;644,25;1,69;761,18;1107,4;2514,52;58,54318445;0,998408455;723
34;julia;689,99;1,62;816,28;1181,11;2689;62,40428906;0,998179836;61
35;julia;629,75;1,4;745,13;1082,89;2459,17;57,52872623;0,998197422;180
36;julia;639,52;1,58;754,3;1095,94;2491,34;57,55379201;0,998443628;621
37;julia;618,99;1,77;732,51;1067,83;2421,1;56,42105977;0,998232594;78
38;julia;627,92;1,65;743,13;1081,3;2454;57,19673849;0,998496386;773
39;julia;601,91;1,38;712,38;1036,63;2352,3;54,77088075;0,99859311;175
40;julia;672,17;1,73;793,9;1155,03;2622,83;60,70008182;0,998601903;407
41;julia;633,14;2,34;748,99;1115,15;2499,62;56,64744072;0,998496386;513
42;julia;595,03;1,52;705,58;1029,11;2331,24;54,44227804;0,99825018;255
43;julia;647,98;1,65;767,18;1110,5;2527,31;58,83776967;0,998531558;971
44;julia;580,74;1,66;689,1;1004,2;2275,7;53,13322638;0,99859311;678
45;julia;661,49;1,58;780,87;1129,43;2573,37;59,55404667;0,998426042;107
46;julia;593,97;1,59;703,63;1022,83;2322,02;54,1868193;0,998223801;797
47;julia;644,81;1,64;760,25;1103,07;2509,77;57,55058356;0,998513972;868
48;julia;616,8;1,4;732,19;1063,39;2413,78;56,81326644;0,998144663;456
49;julia;617,41;1,51;731,31;1058,75;2408,98;55,95574772;0,9984788;952
50;julia;641,7;2,09;759;1110,82;2513,61;57,62687554;0,998399662;611
51;julia;655,87;1,48;775,35;1119,95;2552,65;59,08149013;0,998390869;460
52;julia;657,95;1,59;776;1126,55;2562,09;58,63936124;0,998566731;632
53;julia;618,97;1,62;731,98;1062,51;2415,08;55,91725271;0,998426042;651
54;julia;648,97;1,42;768,59;1112,51;2531,49;58,93651742;0,998329318;704
55;julia;621,76;1,66;736,56;1066,22;2426,2;56,51106421;0,998487593;3
56;julia;616,45;1,54;731,38;1062,2;2411,57;56,45530117;0,998487593;495
57;julia;682,13;1,53;804,11;1160,48;2648,25;60,68765794;0,998531558;472
58;julia;598,44;1,55;708,48;1030,31;2338,78;53,87162994;0,998223801;323
59;julia;614,25;5,93;733,99;1101,96;2456,13;55,85743991;0,99825018;945
60;julia;638,96;1,85;758,36;1094,92;2494,09;58,28632835;0,998267766;433
61;python;325,56;0,97;395,35;601,26;1323,14;33,70044865;0,997916044;108
62;python;380,79;1,09;459,83;689,54;1531,25;39,00760734;0,997669838;610
63;python;348,27;10,55;430,29;678,35;1467,46;34,40695583;0,997986388;451
64;python;358,6;0,9;429,21;642,71;1431,42;35,45065462;0,998065526;894
65;python;384,62;1,11;463,57;649,81;1499,11;40,27903303;0,998144663;591
66;python;331,5;0,86;398,4;599,96;1330,72;33,71898327;0,997810527;526
67;python;334,09;0,97;400,12;595,45;1330,63;33,32906421;0,997713803;241
68;python;335,41;1;401,83;600,73;1338,97;33,60741149;0,997836906;567
69;python;340;1,02;408,39;610,21;1359,62;34,36375257;0,997828113;853
70;python;350,58;0,86;419,93;625,86;1397,23;34,74198728;0,997564321;711
71;python;361,48;1,11;433,51;645,4;1441,5;36,19828447;0,998118284;870
72;python;325,1;0,91;389,73;580,96;1296,7;32,52766893;0,997968802;391
73;python;337,14;0,95;405,51;607,05;1350,65;34,19187133;0,99804794;935
74;python;351,95;1;419,98;625,14;1398,07;34,57005264;0,997722596;773
75;python;347,05;1,15;415,22;618,79;1382,21;34,40668286;0,998021561;243
76;python;320,35;0,99;385,48;590,29;1297,11;32,61202;0,99804794;676
77;python;341,19;0,89;410,43;614,87;1367,38;34,83056426;0,997687424;460
78;python;354,68;1,01;424,17;631,07;1410,93;35,41979048;0,997960009;496
79;python;358,74;1,09;431,47;646,3;1437,6;36,83946272;0,998074319;837
80;python;345,83;1,09;415,5;620,78;1383,2;35,10672843;0,99781932;713
81;python;360,62;0,96;432,47;643,33;1437,38;36,42321257;0,997634666;572
82;python;329,18;0,9;393,64;587,56;1311,28;32,89899797;0,997977595;178
83;python;350,41;1;418,91;624,75;1395,07;34,72336898;0,997740183;456
84;python;343,18;1;411,55;611,86;1367,59;34,47137853;0,997960009;596
