experiment_no;language;energy-cores;energy-gpu;energy-pkg;energy-psys;total_energy;elapsed_time;accuracy;random_seed
1;cpp;42,69;0,07;50,82;80,4;173,98;3,978285472;0,919139;-100412457
2;cpp;41,42;0,07;48,43;76,07;165,99;3,895541118;0,918137;133952355
3;cpp;41,23;0,08;48,21;75,79;165,31;3,91731294;0,91964;109806996
4;cpp;41,29;0,09;48,23;75,83;165,44;3,902591474;0,919315;1446487929
5;cpp;41,21;0,08;48,12;75,53;164,94;3,891171625;0,919491;-1219488186
6;cpp;41,25;0,04;48,15;75,79;165,23;3,89897834;0,919042;-946470754
7;cpp;41,12;0,05;47,98;75,47;164,62;3,902995125;0,919649;-1077758782
8;cpp;41,12;0,09;47,99;75,43;164,63;3,892069843;0,918277;1373630817
9;cpp;40,92;0,07;47,77;74,92;163,68;3,883006156;0,918427;-1207295485
10;cpp;41,14;0,09;48,03;75,53;164,79;3,896426972;0,918778;-1825020734
11;cpp;40,87;0,08;47,72;75,08;163,75;3,88953925;0,91753;461756101
12;cpp;40,9;0,06;47,71;75,04;163,71;3,888406099;0,919447;59677174
13;cpp;40,79;0,05;47,66;75,09;163,59;3,900490924;0,918418;672103660
14;cpp;41,08;0,09;47,96;75,59;164,72;3,909536187;0,918998;877395427
15;cpp;40,2;0,07;47,08;74,54;161,89;3,889992579;0,920001;1609938739
16;cpp;41,12;0,08;47,99;75,35;164,54;3,88909395;0,918013;-955696239
17;cpp;41,1;0,09;47,95;75,47;164,61;3,893078392;0,918277;-1724101391
18;cpp;40,75;0,09;54,71;88,07;183,62;3,938161028;0,918295;1695007652
19;cpp;40,78;0,08;47,73;76,92;165,51;3,894642457;0,918787;62459709
20;cpp;41,12;0,04;47,96;75,68;164,8;3,896993466;0,919332;-1045903902
21;cpp;41,06;0,05;47,92;75,11;164,14;3,888335587;0,918444;1053791792
22;cpp;41,09;0,1;48,05;75,53;164,77;3,894416728;0,91928;859987895
23;cpp;40,23;0,08;47,14;74,66;162,11;3,887556621;0,919113;376223960
24;cpp;41,14;0,05;48,05;75,69;164,93;3,90522555;0,919394;-1514168696
25;cpp;40,46;0,06;47,28;74,58;162,38;3,888118537;0,919306;1970026225
26;cpp;40,27;0,08;47,24;74,86;162,45;3,907483435;0,918928;992743076
27;cpp;41,13;0,09;48;75,55;164,77;3,892912924;0,919851;-427292640
28;cpp;39,98;0,11;46,93;74,34;161,36;3,890240053;0,918954;1928992699
29;cpp;40,1;0,07;46,97;74,48;161,62;3,898222657;0,919754;362192388
30;cpp;40,94;0,09;47,86;75,26;164,15;3,893947814;0,919464;-1613367127
31;julia;224,99;0,37;274,17;425,41;924,94;22,3369845;0,951805216;850
32;julia;214,83;0,33;260,97;408,9;885,03;22,13931898;0,951268839;457
33;julia;212,03;0,47;258,78;409,89;881,17;22,36541182;0,951497459;529
34;julia;214,07;0,36;260,36;408,7;883,49;22,16869305;0,951119357;944
35;julia;212,49;0,32;259,5;410,12;882,43;22,40502995;0,951101771;447
36;julia;214,24;0,36;261,25;409,97;885,82;22,16595134;0,952244869;552
37;julia;216,9;0,42;263,51;415,12;895,95;22,42439132;0,951998663;676
38;julia;214,82;0,42;262,1;386,44;863,78;22,33385404;0,952271248;783
39;julia;218,58;0,3;265,47;390,65;875;22,4649857;0,952227283;426
40;julia;214,79;0,47;261,57;384,53;861,36;22,27897537;0,951304011;884
41;julia;215,49;0,33;262,87;385,02;863,71;22,446759;0,951295218;822
42;julia;216,65;0,31;262,96;385,91;865,83;22,14339087;0,951418321;78
43;julia;213,95;0,33;261,38;385,91;861,57;22,44599943;0,951295218;312
44;julia;218,7;0,37;266,04;390,29;875,4;22,42821318;0,951708492;169
45;julia;216,27;0,36;262,92;385,67;865,22;22,18599775;0,951734872;438
46;julia;217,46;0,32;264,3;386,88;868,96;22,17774504;0,95092591;112
47;julia;216,09;0,36;263,47;386,77;866,69;22,32496096;0,950653325;122
48;julia;213,85;0,29;260,24;388,08;862,46;22,18535833;0,950512636;633
49;julia;214,81;0,35;261,81;391,66;868,63;22,31699883;0,95167332;284
50;julia;218,07;0,35;265,25;389,19;872,86;22,3811003;0,949765225;287
51;julia;217,25;0,38;264,09;387,38;869,1;22,18553487;0,951690906;344
52;julia;214;0,39;260,59;382,06;857,04;22,08654894;0,950741255;717
53;julia;216,72;0,45;263,59;387,12;867,88;22,25202413;0,952367972;463
54;julia;216,02;0,35;262,2;384,74;863,31;22,13183603;0,952165732;750
55;julia;217,59;0,38;265,05;389,81;872,83;22,37897722;0,949870742;720
56;julia;215,3;0,33;261,69;383,72;861,04;22,13043931;0,952025043;264
57;julia;218,49;0,38;265,82;389,52;874,21;22,4284993;0,951172115;753
58;julia;214,46;0,34;261,12;380,87;856,79;22,17987728;0,95026643;910
59;julia;214,91;0,33;261,32;383,64;860,2;22,18462028;0,951998663;626
60;julia;214,84;0,45;261,88;382,72;859,89;22,30026723;0,951629355;792
61;python;32,57;0,08;43,13;74,29;150,07;4,027295861;0,920906389;177
62;python;30,97;0,06;37,94;57,3;126,27;3,301153048;0,920264495;783
63;python;30,38;0,08;37,32;56,64;124,42;3,292841953;0,918637779;602
64;python;30,74;0,07;37,61;62,34;130,76;3,298763888;0,919772084;711
65;python;30,65;0,07;37,58;62,42;130,72;3,316914939;0,918734502;216
66;python;30,75;0,1;37,67;62,35;130,87;3,295579369;0,920062255;256
67;python;30,57;0,04;37,36;62,09;130,06;3,293581933;0,919033466;704
68;python;30,72;0,05;37,53;62,09;130,39;3,285465171;0,919367603;875
69;python;30,73;0,12;37,71;62,71;131,27;3,321342602;0,919754498;795
70;python;30,18;0,08;37,04;61,81;129,11;3,293690623;0,919288465;90
71;python;30,01;0,06;36,84;61,43;128,34;3,280348113;0,918532262;917
72;python;30,62;0,07;37,44;62,33;130,46;3,301873766;0,918840019;345
73;python;30,1;0,08;36,87;61,57;128,62;3,292696036;0,919939152;52
74;python;30,66;0,06;37,47;62,22;130,41;3,303252297;0,918303642;365
