experiment_no;language;energy-cores;energy-gpu;energy-pkg;energy-psys;total_energy;elapsed_time;accuracy;random_seed
91;cpp;43,64;0,15;50,61;72,64;167,04;3,838408799;0,917873;-1296806399
92;cpp;44,22;0,13;51,16;72,94;168,45;3,831178676;0,918998;-425232574
93;cpp;43,31;0,2;50,28;71,76;165,55;3,828179887;0,920467;-796775720
94;cpp;43,92;0,16;50,77;72,07;166,92;3,829741694;0,919403;1422480305
95;cpp;42,77;0,16;49,61;70,93;163,47;3,824969187;0,919631;-347473139
96;cpp;42,86;0,18;49,74;71,18;163,96;3,827493214;0,918312;-633979730
97;cpp;43,29;0,13;50,08;71,48;164,98;3,82141137;0,918251;1646475550
98;cpp;42,58;0,16;49,43;70,69;162,86;3,819527022;0,918515;1592121305
99;cpp;43,59;0,13;50,76;73,95;168,43;3,824462738;0,919693;-640964187
100;cpp;43,49;0,17;50,48;72,26;166,4;3,81902941;0,919341;1838499520
101;cpp;43,52;0,21;50,56;72,45;166,74;3,82573916;0,919121;1629203074
102;cpp;43,9;0,2;50,95;73,32;168,37;3,849527852;0,919438;-789586797
103;cpp;43,55;0,18;50,59;72,44;166,76;3,82534423;0,919139;-863584240
104;cpp;43,81;0,15;50,74;72,94;167,64;3,833026078;0,919579;716210775
105;cpp;43,33;0,21;50,31;72,28;166,13;3,82755602;0,919746;-572955677
106;cpp;43,94;0,19;50,97;73,21;168,31;3,851734333;0,919798;1055749532
107;cpp;43,17;0,18;50,15;71,82;165,32;3,820928396;0,919992;1876874571
108;cpp;42,56;0,13;49,5;71,66;163,85;3,825725786;0,918207;-1863313072
109;cpp;42,8;0,16;49,82;72,07;164,85;3,844485101;0,918444;-2075737099
110;cpp;43,52;0,18;50,48;72,43;166,61;3,827097653;0,919499;1376360569
111;cpp;42,97;0,19;49,9;71,93;164,99;3,818967696;0,91986;1918302468
112;cpp;42,89;0,15;49,89;72,2;165,13;3,857223745;0,920616;1739130335
113;cpp;43,5;0,16;50,47;72,46;166,59;3,831398357;0,920713;323796637
114;cpp;42,53;0,18;49,5;71,68;163,89;3,823114864;0,918119;2130049621
115;cpp;42,95;0,16;50;72,46;165,57;3,840866748;0,919438;2020285652
116;cpp;43,65;0,18;50,64;72,64;167,11;3,825045555;0,919464;-476888430
117;cpp;42,43;0,2;49,44;71,54;163,61;3,82286205;0,917424;-391424052
118;cpp;42,73;0,18;49,74;71,94;164,59;3,839451955;0,918567;726858864
119;cpp;43,75;0,13;50,68;72,77;167,33;3,838234824;0,918866;1023963542
120;cpp;43,14;0,21;50,18;71,99;165,52;3,819676229;0,919878;479479571
121;julia;219,67;0,59;267,51;397,29;885,06;22,10674249;0,952060215;821
122;julia;219,24;0,62;266,09;399,04;884,99;22,20310319;0,951304011;884
123;julia;218,06;0,78;264,83;395,41;879,08;22,04166199;0,9499235;260
124;julia;218,88;0,71;265,74;396,51;881,84;21,99167011;0,951646941;729
125;julia;217,8;0,75;265,13;395,33;879,01;22,19244809;0,950574187;430
126;julia;220;0,73;267,37;400,64;888,74;22,19982207;0,951268839;129
127;julia;218,13;0,65;265,46;395,7;879,94;22,1478091;0,951682113;811
128;julia;217,65;0,68;264,41;393,55;876,29;21,92583803;0,952086594;978
129;julia;218,78;0,69;266,04;396,71;882,22;22,157079;0,951515045;839
130;julia;218,79;0,81;265,86;396,99;882,45;22,03125642;0,950591773;865
131;julia;218,69;0,76;266,45;396,18;882,08;22,19240638;0,951383149;437
132;julia;220,57;0,75;267,98;398,52;887,82;22,10181474;0,952526247;594
133;julia;217,2;0,59;264,91;395,72;878,42;22,13512002;0,951347977;901
134;julia;217,54;0,78;265,11;395,16;878,59;22,11929532;0,95190194;357
135;julia;221,93;0,64;269,78;401,8;894,15;22,2695894;0,951286425;391
136;julia;221,83;0,82;269,97;401,58;894,2;22,2246186;0,951814009;346
137;julia;220,02;0,62;267,88;397,92;886,44;22,16681606;0,950723669;660
138;julia;221,03;0,71;268,84;399,23;889,81;22,14688489;0,951251253;627
139;julia;219,07;0,67;266,96;394,67;881,37;22,10834993;0,952491075;584
140;julia;218,85;0,81;266,71;396,55;882,92;22,08891531;0,951585389;374
141;julia;220,67;0,76;268,54;398,83;888,8;22,15163275;0,951770044;211
142;julia;217,05;0,76;264,62;394,18;876,61;21,96935081;0,950767634;671
143;julia;222,43;0,86;270,52;402,02;895,83;22,17148183;0,950943496;68
144;julia;222,3;0,8;270,39;402,2;895,69;22,19108815;0,951541424;928
145;julia;217,41;0,7;264,46;394,13;876,7;22,10913079;0,951866767;996
146;julia;218,33;0,81;265,9;395,96;881;22,1685179;0,950881944;379
147;julia;219,1;0,64;266,15;395,25;881,14;21,91643689;0,950785221;691
148;julia;216,2;0,7;263,56;392,96;873,42;21,96349069;0,952200904;703
149;julia;219,4;0,72;267,24;397,58;884,94;22,18336112;0,951189702;773
150;julia;219,76;0,7;267,73;397,33;885,52;22,11415836;0,950512636;892
151;python;32,29;0,18;39,28;59,52;131,27;3,239739107;0,917776058;97
152;python;32,56;0,15;39,63;60,06;132,4;3,240075051;0,918532262;917
153;python;32,85;0,16;39,88;60,35;133,24;3,23876275;0,918075022;737
154;python;32,69;0,12;39,63;59,97;132,41;3,232829735;0,91913019;857
155;python;32,48;0,15;39,56;60,26;132,45;3,250725868;0,918417952;973
156;python;32,57;0,15;39,54;59,82;132,08;3,23900074;0,917846403;101
157;python;32,88;0,17;39,85;60,25;133,15;3,255308235;0,91967536;50
158;python;33,09;0,14;40,1;60,68;134,01;3,265041339;0,920194151;494
159;python;32,91;0,17;39,92;60,61;133,61;3,26738571;0,919772084;458
160;python;32,68;0,13;39,6;59,97;132,38;3,252188042;0,91901588;919
161;python;32,75;0,18;39,75;60,2;132,88;3,261542383;0,919393982;39
162;python;32,84;0,16;39,81;60,19;133;3,257768921;0,91890157;360
163;python;32,64;0,12;39,56;60,08;132,4;3,253609778;0,918294849;283
164;python;32,83;0,13;39,76;60,28;133;3,2597647;0,918514676;925
165;python;32,02;0,15;38,96;59,35;130,48;3,242499692;0,920625011;69
166;python;32,74;0,14;39,67;60,13;132,68;3,262784988;0,918330021;374
167;python;32,65;0,16;39,6;59,96;132,37;3,254429722;0,918708123;591
168;python;32,72;0,13;39,64;60,12;132,61;3,265580689;0,919297258;541
169;python;32,77;0,17;39,71;60,16;132,81;3,25101899;0,917635369;447
170;python;32,64;0,14;39,52;59,71;132,01;3,236284131;0,919569843;575
171;python;32,59;0,13;39,47;59,75;131,94;3,249173841;0,918980708;395
172;python;32,67;0,14;39,57;59,67;132,05;3,24260932;0,919657774;837
173;python;31,89;0,15;38,78;58,86;129,68;3,221934591;0,9177233;838
174;python;32,57;0,15;39,52;59,97;132,21;3,250853271;0,919798463;530
175;python;32,51;0,16;39,41;59,56;131,64;3,239880413;0,919807256;30
176;python;32,62;0,17;39,54;59,72;132,05;3,240803235;0,920132599;587
177;python;32,51;0,17;39,46;59,57;131,71;3,244777466;0,918242091;671
178;python;32,43;0,18;39,41;59,68;131,7;3,253280788;0,919297258;541
179;python;32,77;0,15;39,87;61,65;134,44;3,268429597;0,9192445;774
180;python;32,63;0,16;39,6;59,67;132,06;3,244927135;0,920115013;557
