experiment_no;language;energy-cores;energy-gpu;energy-pkg;energy-psys;total_energy;elapsed_time;accuracy;random_seed;net_energy
1;cpp;1160,19;1,31;1371,99;1943,31;4476.8;90.52608107;0.999859;226973098;4411.442684080823
2;cpp;1238,91;1,35;1458,19;2051,95;4750.4;93.6925013;0.999859;1377232767;4682.75661663088
3;cpp;1154,98;1,21;1354,23;1897,38;4407.8;85.58837584;0.999763;-1109259865;4346.007570098404
4;cpp;1192,26;1,11;1401,51;1966,95;4561.83;90.15862909;0.999894;194711504;4496.737974203384
5;cpp;1226,77;1,13;1443,47;2032,37;4703.74;92.986246;0.999868;-1862471494;4636.606513339278
6;cpp;1190,44;1,26;1399,9;1964,61;4556.21;89.64272599;0.999798;200997347;4491.490441910942
7;cpp;1193,94;1,13;1408,27;1986,21;4589.55;90.90003644;0.999824;982610420;4523.922698691333
8;cpp;1165,58;1,24;1372,02;1928,65;4467.49;87.10016067;0.999815;1976590038;4404.606103445168
9;cpp;1189,99;1,25;1399,27;1964,48;4554.99;88.81063476;0.999833;1237844656;4490.871188665356
10;cpp;1168,69;0,91;1378,71;1938,66;4486.97;89.05310959;0.999815;573029569;4422.676128573509
11;cpp;1211,51;1,17;1426,96;2007,02;4646.66;91.89200391;0.999807;-1667440649;4580.316525732644
12;cpp;1228,72;1,09;1450,07;2040,23;4720.11;93.79939647;0.999798;898345984;4652.389441287451
13;cpp;1236,93;0,84;1460,73;2056,16;4754.66;95.16699522;0.999842;-402779059;4685.952072978805
14;cpp;1221,99;1,17;1442,77;2029,81;4695.74;92.99329325;0.999868;-1314699090;4628.601425420535
15;cpp;1225,38;1,04;1441,13;2021,87;4689.42;92.1254424;0.999789;1032695712;4622.907989627267
16;cpp;1203,22;0,96;1421,68;2000,32;4626.18;92.2022676;0.999903;1743931582;4559.6125239669
17;cpp;1167,07;0,83;1376,77;1933,21;4477.88;88.52991928;0.999833;1265839849;4413.963857444264
18;cpp;1167,77;1,26;1376,66;1930,86;4476.55;88.20339813;0.999842;-902291911;4412.869596644533
19;cpp;1185,2;0,86;1397,98;1962,6;4546.64;90.21494233;0.999868;146420534;4481.507317608361
20;cpp;1223,95;1,1;1443,48;2028,23;4696.76;92.84388662;0.999815;-202859622;4629.729292857211
21;cpp;1214,15;1,02;1434,03;2018,88;4668.08;92.77358695;0.999771;699446264;4601.100047266182
22;cpp;1208,29;0,98;1425,08;2002,61;4636.96;91.44891613;0.999851;834528637;4570.93642280181
23;cpp;1216,81;1,29;1434,94;2011,15;4664.19;91.52006395;0.999833;435190531;4598.115056052098
24;cpp;1244,69;1,12;1470,47;2071,39;4787.67;95.15265908;0.999938;993559969;4718.972423273659
25;cpp;1217,38;1,15;1437,25;2019,32;4675.1;92.68483059;0.999833;1180403236;4608.184126892648
26;cpp;1205,63;1,29;1423;2004,17;4634.09;91.86020447;0.999815;-399057290;4567.769484045007
27;cpp;1225,87;1,19;1443,98;2021,1;4692.14;91.33947345;0.999868;818405307;4626.195437376696
28;cpp;1222,04;1,15;1442,93;2026,86;4692.98;92.82604435;0.999842;-1775613042;4625.962174480532
29;cpp;1228,71;4,08;1454,77;2081,72;4769.28;93.20681354;0.99978;1350022580;4701.987269702274
30;cpp;1186,03;1,17;1396,47;1958,35;4542.02;88.55974704;0.999903;2099107061;4478.082322630094
31;julia;1541,89;0,94;1886,41;2775,32;6204.56;157.1018289;0.999876897;977;6091.136843473892
32;julia;1588,82;0,83;1932,05;2819,24;6340.94;158.0955191;0.999824139;986;6226.799426751997
33;julia;1539,14;0,64;1871,04;2803,6;6214.42;156.8615494;0.999876897;648;6101.170318598462
34;julia;1579,82;0,82;1919,06;2807,93;6307.63;158.5683237;0.999894483;401;6193.148074964259
35;julia;1569,62;0,94;1908,9;2792,68;6272.14;157.8472711;0.999903276;979;6158.17865491222
36;julia;1545,55;0,63;1876,22;2743,95;6166.35;155.319716;0.999876897;369;6054.213479484556
37;julia;1574,27;0,66;1913,58;2803,32;6291.83;158.8708782;0.999876897;939;6177.12963901955
39;julia;1546,36;0,72;1883,47;2752,37;6182.92;157.1339738;0.999868104;693;6069.473635749006
40;julia;1556,29;0,82;1896,82;2755,01;6208.94;158.1876288;0.999832932;588;6094.7329261072
41;julia;1568,51;4,36;1920,08;2804,09;6297.04;160.2674364;0.999859311;773;6181.3313627924335
42;julia;1574,58;0,91;1916,15;2814,93;6306.57;158.897079;0.999868104;377;6191.85072276975
43;julia;1561,12;0,79;1900,76;2782,27;6244.94;158.1912115;0.999876897;805;6130.730339497319
44;julia;1561,29;0,85;1905,36;2826,83;6294.33;160.7803205;0.999859311;143;6178.251074719014
45;julia;1552,36;0,91;1886,31;2797,83;6237.41;158.2624073;0.999903277;181;6123.148938107381
46;julia;1540,75;0,81;1871,96;2779,67;6193.19;157.4057767;0.999841725;350;6079.547401605286
47;julia;1568,09;0,83;1903,35;2819,74;6292.01;159.5511081;0.99988569;328;6176.818531927025
48;julia;1548,11;0,77;1882,8;2778,99;6210.67;156.7597356;0.999876897;344;6097.4938253339005
49;julia;1538,93;0,71;1869,35;2769,96;6178.95;156.1368206;0.999868104;522;6066.2235526607055
50;julia;1541,62;0,74;1873,11;2776,1;6191.57;156.7262405;0.99979776;608;6078.41800786568
51;julia;1558,9;0,79;1879,53;2801,92;6241.14;159.0328735;0.999850518;721;6126.32268291282
52;julia;1560,17;0,72;1896,7;2807,62;6265.21;158.8817356;0.999832932;275;6150.5018002783445
53;julia;1561,55;0,92;1898,44;2811,85;6272.76;158.6273922;0.999788966;362;6158.235429148051
54;julia;1534,78;0,83;1875,45;2772,52;6183.58;157.4426543;0.99988569;201;6069.910777002464
55;julia;1586,57;0,95;1929,57;2853,48;6370.57;160.6777484;0.999824139;134;6254.565128925989
56;julia;1537,21;0,69;1870,35;2766,2;6174.45;156.0371692;0.999850518;184;6061.795498203411
57;julia;1541,85;0,89;1874,77;2770,56;6188.07;156.7007747;0.999859311;469;6074.936393465897
58;julia;1548,78;0,77;1885,47;2787,81;6222.83;157.2214546;0.999841725;529;6109.320477041428
59;julia;1532,49;0,84;1872,84;2772,44;6178.61;158.3385235;0.999868104;693;6064.293984325319
60;julia;1524,84;0,84;1863,81;2755,16;6144.65;157.454137;0.999850518;194;6030.9724868120275
61;python;93,11;0,11;117,69;195,78;406.69;10.71395051;0.997889665;723;398.95482534151637
62;python;87,91;0,17;107,35;175,46;370.89;9.374565981;0.997942423;518;364.1218237663286
63;python;75,75;0,11;92,59;151,66;320.11;8.27027311;0.997731389;495;314.13909254438863
64;python;76,18;0,12;93,07;152,44;321.81;8.300420558;0.997766562;913;315.81732692436174
65;python;78,08;0,15;95,04;154,78;328.05;8.376650318;0.998056733;211;322.0022911551351
66;python;83,43;0,07;101,46;164,97;349.93;8.939353123;0.997555528;706;343.4760353605585
67;python;87,99;0,1;107,19;175,46;370.74;9.558289846;0.997441218;875;363.8391802392393
68;python;80,19;0,13;98,02;160,4;338.74;8.743608679;0.997599494;189;332.42735741178086
69;python;81,6;0,09;99,57;163,33;344.59;8.965771967;0.997828113;705;338.1169616890473
